,b'ArUcoTag#black',b'ArUcoTag#purple'
230,0.4165843425326947,5.351607041452032
231,0.10187295999415215,2.7320805545036277
232,0.7152943161796342,3.9137784358457117
233,0.30066803250461616,3.236656697899829
234,0.307789401637603,2.8793186051914086
235,0.2981863735312023,3.1731431463982465
236,0.31236760195809643,2.4805572028421317
237,0.08756663156852998,0.7395250204121329
238,0.31367344630217187,2.109835872812009
239,0.1888602433017815,2.39497366208979
240,0.10618656540319611,2.0059542454753636
241,0.19590186128448342,5.35600037835009
242,0.045682439442925694,4.246796818780075
243,0.28449627031505,0.6390822795171324
244,0.03800299979591495,2.9544922212540308
245,0.31022114735369943,3.484400051100661
246,0.06423010678123499,3.9133951225874815
247,0.40183136660302265,5.061956577455131
248,0.5424294374774719,4.461265527895464
249,0.07496063967869741,2.862616390903149
250,0.15380193302325035,3.1151092081126683
251,0.14846486542071477,4.354301938899021
252,0.2241648982338271,3.2613272524775514
253,0.32648460449334826,4.258235124078123
254,0.18839118931317134,5.335739900922298
255,0.32284648017783096,4.127717889320728
256,0.06335496259158216,3.8662625249382447
257,0.036560173225541545,4.6957528872574725
258,0.5927697209865446,4.759318459195149
259,0.6994004499649505,3.7246353007736026
260,0.29224118648560243,4.127281434070512
261,0.3771652813038817,4.374157683570836
262,0.12278767563576162,3.617286046891744
263,0.15976752814019796,5.801976039851882
264,0.008001427314508733,5.121369850548875
265,0.2697638599814158,4.520215975133504
266,0.216243744939542,4.182941036459048
267,0.22719057968143289,3.311021881009396
268,0.06172100014749561,3.421605374434927
269,0.07331687298299493,4.373811010596549
270,0.24656188618168978,2.52295294355882
271,0.2929008611857746,3.047280774392431
272,0.1479253623789455,0.2731794297499688
273,0.22574224465114162,0.6047778833347119
274,0.3120433704756666,2.4274956410491777
275,0.225799560546875,3.6885924867729725
276,0.16003830276636674,4.018926770121654
277,0.20380005171988544,2.156397273944546
278,0.026306789594043395,0.4000224595637646
279,0.02305038958761229,2.059079282169438
280,0.1187955243599459,4.61228325158557
281,0.14552167851990633,3.1988919484782996
282,0.2423233297366612,2.0497074869725975
283,1.9965826024282995,4.055982398113011
284,2.1602451657970767,4.744290036694799
285,0.4160163816704831,4.947455738844671
286,0.303802384472785,3.1269649593848903
287,2.3938695769721896,2.793974547914884
288,2.2062244257106585,4.416398635482668
289,0.14075551665240268,3.621418300685681
290,0.4839268503186131,3.323686267956209
291,2.065620409274014,4.2313419496029
292,1.8827628024257614,4.820795663784343
293,1.7800088291877632,3.401526494749
294,2.157233818226774,2.8709551818326924
295,0.15261788340483842,3.2813319968014563
296,0.21157103563906843,4.755778944913755
297,0.25329970942927965,7.04829390556764
298,0.08968874787582325,3.4785635676873934
299,0.5074700934264111,2.1283274791268156
300,0.10933120736387508,3.4760085823227027
301,0.3811920327143665,3.827596749623697
302,0.25312546660827673,3.782396319244015
303,0.07214815670510234,3.806642082790489
304,1.6829056738806656,3.1051721312758804
305,1.8009058449975128,4.602896711074595
306,0.09739627566041649,3.2540896194888633
307,0.05801133938224094,0.1921677743085127
308,0.08118240795692917,0.09542856439061508
309,1.979339304121617,2.748550721986967
310,0.3682673888577976,3.1730489601918297
311,1.7786005609495525,0.5154750960087466
312,1.8043790043722683,2.5573162536869973
313,1.609653567133023,2.625185893209114
314,0.19774430098577286,0.18085407883735313
315,0.18131997149296228,0.10184200047865727
316,0.09723452105197791,0.03297277091577714
317,0.19070465581108392,0.006458272331216314
318,0.08502993029552029,0.01294236780124163
319,0.0713322195296385,0.016770151970529616
320,0.036235354523375264,0.013486698043357441
