,b'ArUcoTag#black',b'ArUcoTag#purple'
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,3.170047455496003,2.9965449869042633
200,2.893549237099702,4.242864415350984
201,2.1088710918143416,4.057276873083123
202,2.1872082994742414,5.9776432930252605
203,2.676937488487696,8.542743504212172
204,4.906858488674186,6.548173580333803
205,4.945179704341551,5.998718683698006
206,4.747407371237474,4.782277787019707
207,4.698953766339812,4.82648577117026
208,4.382518095652962,5.911983749679382
209,4.767728466494431,4.8710586376232445
210,4.625053862651948,3.1998897171726024
211,2.7629014697105427,3.7879016597343567
212,2.8068877002229238,5.023411011088376
213,3.010394004166691,5.6961491400172415
214,2.8948647975184794,6.717230893508127
215,4.6340707219004145,3.6652504190183035
216,4.452152240585875,0.6806158632975723
217,2.4299184993732346,2.5719725758066994
218,2.567001858093452,4.902008772610249
219,5.644855351779045,5.614056158537492
220,5.497491271927048,3.7157981889757887
221,3.136028717009934,3.008198986055573
222,2.4442261401825998,3.508030460544573
223,3.44815921440543,2.7431991141783345
224,5.796541091589541,2.963716440318566
225,3.7815014923268553,2.9468186090751596
226,5.154086785282815,2.5925732699227777
227,7.510877886838234,2.8267472796209954
228,5.410050362280645,0.8390732296776197
229,5.900397830113971,2.713306205843712
230,5.516117343122755,5.249737134651802
231,4.106965921832818,5.498582265069593
