,b'ArUcoTag#black',b'ArUcoTag#purple'
231,0.046440625238954425,3.0896936475413477
232,1.4506109756197965,0.6422725055058291
233,1.531171340831833,4.492764024745781
234,1.456520992513533,4.3769939410916505
235,1.4476929830305598,1.727036480390093
236,0.056408637252547175,0.211021391204751
237,2.2420936533265294,0.2394131409273664
238,1.6468927662052188,2.2244371677424266
239,1.312697401415436,3.9807029532150886
240,1.508520281717477,5.548380935437552
241,1.342943953351195,5.431029715178635
242,0.2961108968319318,3.572919645970866
243,0.26345110410416683,3.585988696388384
244,0.32822373584954523,0.37461168454545213
245,0.06849118195808697,0.6832092818423896
246,0.23093525701228518,0.38662151718212817
247,0.10071339448336546,1.6893930316998087
248,1.1973990464039497,4.290056922472937
249,1.3290602409924142,8.66971681831017
250,0.514111265663812,4.165516780823781
251,2.272467267109999,4.193156905543283
252,2.6250340624143313,6.715079389777227
253,2.0280793379289026,8.898138457216378
254,1.931059087582569,6.821712110247921
255,1.6168935757437384,3.633937223715539
256,2.5125100904826714,2.8209024352896006
257,2.0682175491309,5.543500699331861
258,0.10022175237394725,6.320283090601989
259,3.720399311632732,5.969200222307506
260,0.5798890065639373,3.550097108206621
261,2.798730691630058,1.7712235045743858
262,3.6115095021824484,4.668373419060083
263,7.338973621858022,9.361044666122236
264,4.186420065224483,9.361044666122272
265,2.1483244835865296,9.361044666122272
266,2.4484323514085133,9.361044666122236
267,2.255050835476529,6.810781143426901
268,2.2736171771438367,3.936463842458984
269,1.3546225932630458,4.5809406387486975
270,2.8854943223866756,3.051828776640737
271,4.599325790997503,3.775974366942093
272,2.7060999494819478,3.354281413301554
273,0.8647081403410908,2.3837777297279175
274,1.988347821769965,2.8308737850980488
275,0.1914484235467574,3.879264470819636
276,1.8987310059035616,6.954324355109481
277,1.946490000589009,8.41493263225039
278,2.6642241292596824,8.41493263225039
279,1.2343378280221475,7.062645039424716
280,0.19237408400355308,8.235360693301084
281,0.34538986808678385,8.235360693301084
282,1.3312287895461699,3.9868742083317286
283,2.828272759841461,0.36407970031741926
284,2.2839314824144092,2.39413088587104
285,0.3726295276173709,3.5367002320326213
286,1.682009926949608,4.580344240391981
287,1.6753876211010932,6.3426245885567205
288,1.7897343691010286,8.322816564682714
289,1.9289394149173311,7.84072476299229
290,0.46281899429139745,7.84072476299229
291,1.627077966825506,7.84072476299229
292,1.7878862057965241,6.089212073857787
293,0.4684593263052585,5.250222556582225
294,2.606927149875963,6.517337341206096
295,0.9233962641422991,6.517337341206096
296,0.39115160017380496,8.315346591071608
297,1.9152141225499892,9.624463911781097
298,1.7943517624757315,8.393088873186732
299,1.5604036526401637,8.390727000478408
300,0.7501651805846371,9.556497410276688
301,1.7847611826964322,5.864584101084955
302,3.985023259534588,4.208779697353801
303,6.321246991665053,6.176570818287846
304,8.662145213135787,7.690924434033343
305,5.175891522119033,7.690924434033343
306,3.4908627364439093,7.690924434033398
307,4.1560023260222,7.690924434033343
308,4.847320402190978,7.690924434033343
309,4.092028983754898,6.58122271468624
310,4.56942202737551,5.118542267644608
311,6.3393158703175265,3.851040033841924
312,5.019506541633835,5.390481211378972
313,2.929779467410769,5.946809816119122
314,2.5080608441501333,3.284153649223799
315,2.8930169797449667,0.8343463286463544
316,3.318795932134085,2.381518868953117
317,3.660955809168063,3.3920178002827934
318,5.090742720473278,5.81443104989638
319,6.630312700798963,6.986053269428919
320,7.653888358228307,4.844003267742483
321,4.005000176787856,4.4520655380809755
322,4.124206978939775,11.905197125943555
323,5.869426166888549,11.905197125943555
